time,open,high,low,close,volume,symbol
2020-05-15,6.06,6.06,6.06,6.06,500,ANT
2020-05-18,6.06,6.06,6.06,6.06,0,ANT
2020-05-19,6.06,6.06,6.06,6.06,0,ANT
2020-05-20,6.06,6.06,6.06,6.06,0,ANT
2020-05-21,6.06,6.06,6.06,6.06,200,ANT
2020-05-22,6.79,6.79,6.79,6.79,100,ANT
2020-05-25,6.37,6.37,6.37,6.37,1900,ANT
2020-05-26,6.37,6.37,6.37,6.37,0,ANT
2020-05-27,5.94,5.94,5.94,5.94,200,ANT
2020-05-28,6.49,6.49,6.49,6.49,4000,ANT
2020-05-29,6.49,6.49,6.49,6.49,0,ANT
2020-06-01,6.49,6.49,6.49,6.49,0,ANT
2020-06-02,6.49,6.49,6.49,6.49,0,ANT
2020-06-03,6.49,6.49,6.49,6.49,0,ANT
2020-06-04,6.49,6.49,6.49,6.49,0,ANT
2020-06-05,6.49,6.49,6.49,6.49,0,ANT
2020-06-08,6.49,6.49,6.49,6.49,0,ANT
2020-06-09,6.49,6.49,6.49,6.49,0,ANT
2020-06-10,6.49,6.49,6.49,6.49,1000,ANT
2020-06-11,6.49,6.49,6.49,6.49,0,ANT
2020-06-12,6.49,6.49,6.49,6.49,0,ANT
2020-06-15,6.49,6.49,6.49,6.49,5000,ANT
2020-06-16,6.49,6.49,6.49,6.49,2500,ANT
2020-06-17,6.49,6.49,6.49,6.49,0,ANT
2020-06-18,6.49,6.49,6.49,6.49,0,ANT
2020-06-19,6.49,6.49,6.49,6.49,1100,ANT
2020-06-22,6.49,6.49,6.49,6.49,0,ANT
2020-06-23,6.49,6.49,6.49,6.49,0,ANT
2020-06-24,6.49,6.49,6.49,6.49,0,ANT
2020-06-25,6.49,6.49,6.49,6.49,0,ANT
2020-06-26,6.49,6.49,6.49,6.49,0,ANT
2020-06-29,6.49,6.49,6.49,6.49,0,ANT
2020-06-30,6.49,6.49,6.49,6.49,0,ANT
2020-07-01,6.49,6.49,6.49,6.49,0,ANT
2020-07-02,6.49,6.49,6.49,6.49,0,ANT
2020-07-03,6.49,6.49,6.49,6.49,0,ANT
2020-07-06,6.49,6.49,6.49,6.49,0,ANT
2020-07-07,6.49,6.49,6.49,6.49,0,ANT
2020-07-08,6.49,6.49,6.49,6.49,0,ANT
2020-07-09,6.49,6.49,6.49,6.49,0,ANT
2020-07-10,6.49,6.49,6.49,6.49,0,ANT
2020-07-13,6.49,6.49,6.49,6.49,0,ANT
2020-07-14,6.49,6.49,6.49,6.49,0,ANT
2020-07-15,6.49,6.49,6.49,6.49,0,ANT
2020-07-16,6.49,6.49,6.49,6.49,0,ANT
2020-07-17,6.49,6.49,6.49,6.49,0,ANT
2020-07-20,6.49,6.49,6.49,6.49,0,ANT
2020-07-21,6.49,6.49,6.49,6.49,0,ANT
2020-07-22,6.49,6.49,6.49,6.49,0,ANT
2020-07-23,6.49,6.49,6.49,6.49,0,ANT
2020-07-24,6.49,6.49,6.49,6.49,0,ANT
2020-07-27,6.49,6.49,6.49,6.49,0,ANT
2020-07-28,6.49,6.49,6.49,6.49,0,ANT
2020-07-29,6.49,6.49,6.49,6.49,0,ANT
2020-07-30,6.49,6.49,6.49,6.49,0,ANT
2020-07-31,6.49,6.49,6.49,6.49,0,ANT
2020-08-03,6.49,6.49,6.49,6.49,0,ANT
2020-08-04,6.49,6.49,6.49,6.49,0,ANT
2020-08-05,6.49,6.49,6.49,6.49,0,ANT
2020-08-06,6.49,6.49,6.49,6.49,0,ANT
2020-08-07,6.49,6.49,6.49,6.49,0,ANT
2020-08-10,6.06,6.06,6.06,6.06,200,ANT
2020-08-11,5.15,5.15,5.15,5.15,8500,ANT
2020-08-12,5.15,5.15,5.15,5.15,0,ANT
2020-08-13,5.15,5.15,5.15,5.15,0,ANT
2020-08-14,5.15,5.15,5.15,5.15,0,ANT
2020-08-17,5.15,5.15,5.15,5.15,0,ANT
2020-08-18,5.15,5.15,5.15,5.15,0,ANT
2020-08-19,4.85,4.85,4.85,4.85,2900,ANT
2020-08-20,4.85,4.85,4.85,4.85,0,ANT
2020-08-21,4.85,4.85,4.85,4.85,0,ANT
2020-08-24,5.46,5.46,5.46,5.46,2900,ANT
2020-08-25,5.46,5.46,5.46,5.46,0,ANT
2020-08-26,5.46,5.46,5.46,5.46,3500,ANT
2020-08-27,5.46,5.46,5.46,5.46,0,ANT
2020-08-28,5.46,5.46,5.46,5.46,0,ANT
2020-08-31,5.46,5.46,5.46,5.46,0,ANT
2020-09-01,5.46,5.46,5.46,5.46,0,ANT
2020-09-03,5.46,5.46,5.46,5.46,0,ANT
2020-09-04,5.46,5.46,5.46,5.46,0,ANT
2020-09-07,4.73,4.73,4.73,4.73,500,ANT
2020-09-08,4.73,4.73,4.73,4.73,0,ANT
2020-09-09,4.73,4.73,4.73,4.73,0,ANT
2020-09-10,4.73,4.73,4.73,4.73,0,ANT
2020-09-11,4.73,4.73,4.73,4.73,0,ANT
2020-09-14,4.73,4.73,4.73,4.73,0,ANT
2020-09-15,4.73,4.73,4.73,4.73,0,ANT
2020-09-16,4.73,4.73,4.73,4.73,0,ANT
2020-09-17,4.73,4.73,4.73,4.73,0,ANT
2020-09-18,4.73,4.73,4.73,4.73,0,ANT
2020-09-21,4.73,4.73,4.73,4.73,0,ANT
2020-09-22,4.73,4.73,4.73,4.73,0,ANT
2020-09-23,4.73,4.73,4.73,4.73,0,ANT
2020-09-24,5.4,5.4,5.4,5.4,100,ANT
2020-09-25,5.46,5.46,5.46,5.46,1700,ANT
2020-09-28,5.46,5.46,5.46,5.46,0,ANT
2020-09-29,5.46,5.46,5.46,5.46,0,ANT
2020-09-30,5.46,5.46,5.46,5.46,1,ANT
2020-10-01,5.46,5.46,5.46,5.46,300,ANT
2020-10-02,5.46,5.46,5.46,5.46,0,ANT
2020-10-05,5.46,5.46,5.46,5.46,0,ANT
2020-10-06,5.46,5.46,5.46,5.46,0,ANT
2020-10-07,5.46,5.46,5.46,5.46,0,ANT
2020-10-08,5.46,5.46,5.46,5.46,0,ANT
2020-10-09,5.46,5.46,5.46,5.46,300,ANT
2020-10-12,5.46,5.46,5.46,5.46,0,ANT
2020-10-13,5.46,5.46,5.46,5.46,0,ANT
2020-10-14,5.46,5.46,5.46,5.46,0,ANT
2020-10-15,5.46,5.46,5.46,5.46,0,ANT
2020-10-16,5.46,5.46,5.46,5.46,0,ANT
2020-10-19,5.46,5.46,5.46,5.46,0,ANT
2020-10-20,5.46,5.46,5.46,5.46,0,ANT
2020-10-21,5.46,5.46,5.46,5.46,0,ANT
2020-10-22,5.46,5.46,5.46,5.46,0,ANT
2020-10-23,4.67,4.67,4.67,4.67,400,ANT
2020-10-26,4.67,4.67,4.67,4.67,700,ANT
2020-10-27,4.67,4.67,4.67,4.67,0,ANT
2020-10-28,4.67,4.67,4.67,4.67,0,ANT
2020-10-29,4.67,4.67,4.67,4.67,0,ANT
2020-10-30,4.67,4.67,4.67,4.67,0,ANT
2020-11-02,4.67,4.67,4.67,4.67,0,ANT
2020-11-03,4.67,4.67,4.67,4.67,0,ANT
2020-11-04,4.67,4.67,4.67,4.67,0,ANT
2020-11-05,4.67,4.67,4.67,4.67,0,ANT
2020-11-06,4.67,4.67,4.67,4.67,400,ANT
2020-11-09,4.67,4.67,4.67,4.67,0,ANT
2020-11-10,4.67,4.67,4.67,4.67,0,ANT
2020-11-11,4.67,4.67,4.67,4.67,0,ANT
2020-11-12,5.34,5.34,5.34,5.34,1100,ANT
2020-11-13,5.34,5.34,5.34,5.34,0,ANT
2020-11-16,5.88,5.88,5.88,5.88,1600,ANT
2020-11-17,5.88,5.88,5.88,5.88,0,ANT
2020-11-18,5.88,5.88,5.88,5.88,0,ANT
2020-11-19,5.88,5.88,5.88,5.88,0,ANT
2020-11-20,5.88,5.88,5.88,5.88,0,ANT
2020-11-23,5.88,5.88,5.88,5.88,0,ANT
2020-11-24,5.88,5.88,5.88,5.88,0,ANT
2020-11-25,5.88,5.88,5.88,5.88,100,ANT
2020-11-26,5.88,5.88,5.88,5.88,0,ANT
2020-11-27,5.88,5.88,5.88,5.88,600,ANT
2020-11-30,5.88,5.88,5.88,5.88,0,ANT
2020-12-01,5.88,5.88,5.88,5.88,0,ANT
2020-12-02,5.88,5.88,5.88,5.88,0,ANT
2020-12-03,5.88,5.88,5.88,5.88,0,ANT
2020-12-04,5.88,5.88,5.88,5.88,0,ANT
2020-12-07,5.88,5.88,5.88,5.88,0,ANT
2020-12-08,6.06,6.06,6.06,6.06,900,ANT
2020-12-09,6.06,6.06,6.06,6.06,0,ANT
2020-12-10,6.06,6.06,6.06,6.06,0,ANT
2020-12-11,6.06,6.06,6.06,6.06,0,ANT
2020-12-14,6.06,6.06,6.06,6.06,0,ANT
2020-12-15,5.94,5.94,5.94,5.94,3300,ANT
2020-12-16,5.94,5.94,5.94,5.94,0,ANT
2020-12-17,5.94,5.94,5.94,5.94,1500,ANT
2020-12-18,5.94,5.94,5.94,5.94,0,ANT
2020-12-21,5.94,5.94,5.94,5.94,0,ANT
2020-12-22,5.94,5.94,5.94,5.94,0,ANT
2020-12-23,5.94,5.94,5.94,5.94,0,ANT
2020-12-24,5.94,5.94,5.94,5.94,0,ANT
2020-12-25,5.94,5.94,5.94,5.94,0,ANT
2020-12-28,5.94,5.94,5.94,5.94,100,ANT
2020-12-29,5.94,5.94,5.94,5.94,0,ANT
2020-12-30,5.94,5.94,5.94,5.94,0,ANT
2020-12-31,5.94,5.94,5.94,5.94,0,ANT
2021-01-04,5.94,5.94,5.94,5.94,0,ANT
2021-01-05,5.94,5.94,5.94,5.94,0,ANT
2021-01-06,5.94,5.94,5.94,5.94,0,ANT
2021-01-07,5.94,5.94,5.94,5.94,0,ANT
2021-01-08,5.94,5.94,5.94,5.94,900,ANT
2021-01-11,5.94,5.94,5.94,5.94,0,ANT
2021-01-12,6.79,6.79,6.79,6.79,1000,ANT
2021-01-13,6.79,6.79,6.79,6.79,0,ANT
2021-01-14,6.79,6.79,6.79,6.79,0,ANT
2021-01-15,6.79,6.79,6.79,6.79,0,ANT
2021-01-18,7.16,7.16,7.16,7.16,35900,ANT
2021-01-19,7.16,7.16,7.16,7.16,0,ANT
2021-01-20,7.16,7.16,7.16,7.16,0,ANT
2021-01-21,7.16,7.16,7.16,7.16,0,ANT
2021-01-22,7.16,7.16,7.16,7.16,0,ANT
2021-01-25,7.16,7.16,7.16,7.16,10,ANT
2021-01-26,6.19,6.19,6.19,6.19,100,ANT
2021-01-27,6.19,6.19,6.19,6.19,0,ANT
2021-01-28,6.0,6.0,6.0,6.0,100,ANT
2021-01-29,6.0,6.0,6.0,6.0,0,ANT
2021-02-01,6.0,6.0,6.0,6.0,0,ANT
2021-02-02,6.0,6.0,6.0,6.0,0,ANT
2021-02-03,6.0,6.0,6.0,6.0,0,ANT
2021-02-04,6.0,6.0,6.0,6.0,0,ANT
2021-02-05,6.0,6.0,6.0,6.0,0,ANT
2021-02-08,6.0,6.0,6.0,6.0,0,ANT
2021-02-09,6.0,6.0,6.0,6.0,0,ANT
2021-02-17,6.67,6.67,6.67,6.67,100,ANT
2021-02-18,6.67,6.67,6.67,6.67,0,ANT
2021-02-19,6.67,6.67,6.67,6.67,0,ANT
2021-02-22,6.67,6.67,6.67,6.67,0,ANT
2021-02-23,6.67,6.67,6.67,6.67,0,ANT
2021-02-24,5.7,5.7,5.7,5.7,100,ANT
2021-02-25,5.34,5.34,5.34,5.34,100,ANT
2021-02-26,5.34,5.34,5.34,5.34,0,ANT
2021-03-01,5.34,5.34,5.34,5.34,0,ANT
2021-03-02,5.34,5.34,5.34,5.34,0,ANT
2021-03-03,4.67,4.67,4.67,4.67,100,ANT
2021-03-04,4.67,4.67,4.67,4.67,0,ANT
2021-03-05,4.67,4.67,4.67,4.67,0,ANT
2021-03-08,4.67,4.67,4.67,4.67,0,ANT
2021-03-09,4.67,4.67,4.67,4.67,0,ANT
2021-03-10,5.28,5.28,5.28,5.28,100,ANT
2021-03-11,5.7,5.7,5.7,5.7,100,ANT
2021-03-12,6.0,6.0,6.0,6.0,100,ANT
2021-03-15,6.0,6.0,6.0,6.0,0,ANT
2021-03-16,6.0,6.0,6.0,6.0,0,ANT
2021-03-17,6.67,6.67,6.67,6.67,2100,ANT
2021-03-18,7.16,7.16,7.16,7.16,15000,ANT
2021-03-19,6.67,6.67,6.67,6.67,20102,ANT
2021-03-22,6.06,6.06,6.06,6.06,200,ANT
2021-03-23,6.06,6.06,6.06,6.06,1900,ANT
2021-03-24,6.06,6.06,6.06,6.06,0,ANT
2021-03-25,6.06,6.06,6.06,6.06,16350,ANT
2021-03-26,6.06,6.06,6.06,6.06,0,ANT
2021-03-29,6.06,6.06,6.06,6.06,0,ANT
2021-03-30,6.06,6.06,6.06,6.06,100,ANT
2021-03-31,6.0,6.06,6.0,6.06,7600,ANT
2021-04-01,6.06,6.06,6.06,6.06,8000,ANT
2021-04-02,6.06,6.06,6.06,6.06,0,ANT
2021-04-05,6.06,6.06,6.06,6.06,2500,ANT
2021-04-06,6.06,6.06,6.06,6.06,0,ANT
2021-04-07,6.06,6.06,6.06,6.06,100,ANT
2021-04-08,6.06,6.06,6.06,6.06,200,ANT
2021-04-09,6.0,6.0,5.94,5.94,28000,ANT
2021-04-12,6.06,6.06,6.06,6.06,500,ANT
2021-04-13,5.94,5.94,5.94,5.94,5009,ANT
2021-04-14,6.06,6.37,6.06,6.31,4400,ANT
2021-04-15,6.31,6.31,6.31,6.31,0,ANT
2021-04-16,6.0,6.0,6.0,6.0,2000,ANT
2021-04-19,6.0,6.0,6.0,6.0,0,ANT
2021-04-20,6.06,6.06,6.06,6.06,300,ANT
2021-04-22,6.06,6.06,6.0,6.0,600,ANT
2021-04-23,6.0,6.0,6.0,6.0,200,ANT
2021-04-26,6.0,6.0,6.0,6.0,0,ANT
2021-04-27,6.0,6.0,6.0,6.0,1400,ANT
2021-04-28,6.0,6.0,6.0,6.0,600,ANT
2021-04-29,6.0,6.0,6.0,6.0,0,ANT
2021-05-04,6.0,6.0,6.0,6.0,900,ANT
2021-05-05,6.06,6.06,6.06,6.06,500,ANT
2021-05-06,6.06,6.06,6.06,6.06,400,ANT
2021-05-07,6.06,6.06,6.06,6.06,1040,ANT
2021-05-10,6.06,6.06,6.06,6.06,0,ANT
2021-05-11,6.06,6.06,6.06,6.06,100,ANT
2021-05-12,6.06,6.06,6.06,6.06,0,ANT
2021-05-13,5.15,5.82,5.15,5.82,1100,ANT
2021-05-14,5.94,6.0,5.82,5.82,1500,ANT
2021-05-17,5.88,5.82,5.82,5.82,0,ANT
2021-05-18,6.0,6.0,5.88,6.0,310,ANT
2021-05-19,5.88,5.88,5.88,5.88,15300,ANT
2021-05-20,5.88,5.88,5.88,5.88,300,ANT
2021-05-21,5.88,5.88,5.88,5.88,100,ANT
2021-05-24,5.88,5.88,5.88,5.88,0,ANT
2021-05-25,5.88,5.88,5.88,5.88,0,ANT
2021-05-26,5.88,6.19,5.88,6.19,15300,ANT
2021-05-27,6.19,6.19,6.06,6.06,200,ANT
2021-05-28,6.13,6.06,6.06,6.06,0,ANT
2021-05-31,6.06,6.06,6.0,6.0,1700,ANT
2021-06-01,5.46,6.0,5.46,5.52,9800,ANT
2021-06-02,6.37,6.37,6.0,6.0,1600,ANT
2021-06-03,6.06,6.0,6.0,6.0,0,ANT
2021-06-04,6.06,6.06,5.64,5.64,300,ANT
2021-06-07,6.79,6.79,5.94,5.94,8200,ANT
2021-06-08,5.94,5.94,5.76,5.76,5000,ANT
2021-06-09,5.64,5.82,5.64,5.76,3000,ANT
2021-06-10,5.76,5.76,5.64,5.76,1300,ANT
2021-06-11,5.76,5.76,5.76,5.76,1500,ANT
2021-06-14,6.61,6.61,6.06,6.06,900,ANT
2021-06-15,6.06,6.06,6.06,6.06,4800,ANT
2021-06-16,6.61,6.61,6.19,6.19,1000,ANT
2021-06-17,6.31,6.19,6.19,6.19,0,ANT
2021-06-18,6.06,6.06,6.06,6.06,600,ANT
2021-06-21,6.55,6.55,6.06,6.13,3300,ANT
2021-06-22,6.19,6.25,6.19,6.25,200,ANT
2021-06-23,6.13,6.13,6.0,6.0,500,ANT
2021-06-24,6.0,6.13,6.0,6.13,2000,ANT
2021-06-25,6.13,6.13,6.13,6.13,0,ANT
2021-06-28,6.19,6.19,6.0,6.0,4900,ANT
2021-06-29,6.61,6.61,6.37,6.37,200,ANT
2021-06-30,6.49,6.49,6.0,6.0,3900,ANT
2021-07-01,6.0,6.25,6.0,6.19,700,ANT
2021-07-02,6.06,6.06,5.94,5.94,3300,ANT
2021-07-05,5.46,5.58,5.46,5.58,500,ANT
2021-07-06,5.64,5.76,5.52,5.76,3700,ANT
2021-07-07,6.0,6.0,5.46,5.76,4100,ANT
2021-07-08,5.46,5.64,5.46,5.64,3500,ANT
2021-07-09,5.52,5.52,5.52,5.52,500,ANT
2021-07-12,6.31,6.31,5.82,5.82,1000,ANT
2021-07-13,6.06,5.82,5.82,5.82,0,ANT
2021-07-14,6.06,5.82,5.82,5.82,0,ANT
2021-07-15,6.06,5.82,5.82,5.82,0,ANT
2021-07-16,5.4,5.46,5.4,5.4,1100,ANT
2021-07-19,5.4,5.4,5.4,5.4,0,ANT
2021-07-20,5.7,5.76,5.7,5.76,7200,ANT
2021-07-21,5.76,5.76,5.76,5.76,100,ANT
2021-07-22,5.52,5.7,5.52,5.7,3100,ANT
2021-07-23,5.58,5.58,5.52,5.52,1000,ANT
2021-07-26,5.52,5.52,5.52,5.52,1700,ANT
2021-07-27,5.52,5.52,5.52,5.52,0,ANT
2021-07-28,5.46,5.52,5.46,5.52,4600,ANT
2021-07-29,5.88,6.31,5.88,6.25,42200,ANT
2021-07-30,5.94,6.25,5.94,6.25,200,ANT
2021-08-02,6.25,6.25,6.06,6.19,1100,ANT
2021-08-03,5.76,6.49,5.76,5.94,3000,ANT
2021-08-04,5.88,6.13,5.82,6.13,1600,ANT
2021-08-05,5.94,5.94,5.94,5.94,100,ANT
2021-08-06,5.88,5.94,5.82,5.94,1000,ANT
2021-08-09,5.88,5.88,5.88,5.88,100,ANT
2021-08-10,5.94,6.0,5.94,6.0,6500,ANT
2021-08-11,6.43,6.43,6.0,6.06,1050,ANT
2021-08-12,6.13,6.06,6.06,6.06,0,ANT
2021-08-13,6.13,6.06,6.06,6.06,0,ANT
2021-08-16,6.06,6.13,6.06,6.13,200,ANT
2021-08-17,6.13,6.13,6.13,6.13,0,ANT
2021-08-18,5.88,6.37,5.88,6.37,6800,ANT
2021-08-19,6.25,6.37,6.25,6.25,13600,ANT
2021-08-20,6.25,6.37,6.25,6.25,1500,ANT
2021-08-23,6.19,6.67,6.19,6.67,8500,ANT
2021-08-24,6.61,6.61,6.61,6.61,600,ANT
2021-08-25,6.61,6.61,6.31,6.61,600,ANT
2021-08-26,6.25,6.25,6.25,6.25,500,ANT
2021-08-27,5.46,6.55,5.46,6.55,4400,ANT
2021-08-30,5.82,6.25,5.82,6.25,311,ANT
2021-08-31,6.13,6.13,6.13,6.13,0,ANT
2021-09-01,5.22,6.25,5.22,6.25,7400,ANT
2021-09-06,6.13,6.37,6.13,6.37,300,ANT
2021-09-07,6.19,6.43,6.19,6.43,3600,ANT
2021-09-08,6.37,6.37,6.19,6.19,1600,ANT
2021-09-09,6.25,6.25,6.25,6.25,1900,ANT
2021-09-10,6.25,6.37,6.13,6.13,4500,ANT
2021-09-13,6.37,6.37,6.06,6.13,7800,ANT
2021-09-14,6.13,6.13,6.06,6.06,3800,ANT
2021-09-15,6.13,6.37,6.06,6.06,8000,ANT
2021-09-16,6.13,6.37,6.13,6.37,7528,ANT
2021-09-17,6.37,6.67,6.31,6.67,1600,ANT
2021-09-20,6.67,6.85,6.43,6.67,15100,ANT
2021-09-21,6.67,6.67,6.67,6.67,2000,ANT
2021-09-22,7.52,7.64,7.52,7.64,37400,ANT
2021-09-23,7.88,7.88,6.91,7.28,14400,ANT
2021-09-24,7.4,7.4,7.4,7.4,300,ANT
2021-09-27,7.28,7.46,6.31,7.46,6710,ANT
2021-09-28,6.67,7.22,6.67,7.22,600,ANT
2021-09-29,7.22,7.22,7.22,7.22,300,ANT
2021-09-30,7.16,7.28,7.16,7.22,51900,ANT
2021-10-01,6.97,6.97,6.97,6.97,1800,ANT
2021-10-04,7.28,7.4,6.67,7.4,23200,ANT
2021-10-05,7.34,7.52,7.34,7.52,22900,ANT
2021-10-06,7.28,7.28,7.22,7.22,11300,ANT
2021-10-07,7.16,7.34,7.16,7.22,27510,ANT
2021-10-08,7.34,7.52,7.22,7.28,78000,ANT
2021-10-11,7.28,7.28,7.22,7.28,17950,ANT
2021-10-12,7.22,7.22,7.22,7.22,10010,ANT
2021-10-13,7.22,7.4,7.22,7.34,45800,ANT
2021-10-14,7.34,7.34,7.28,7.34,3730,ANT
2021-10-15,7.28,7.34,7.28,7.28,11700,ANT
2021-10-18,7.34,7.4,7.28,7.28,81900,ANT
2021-10-19,7.34,7.34,7.22,7.28,3300,ANT
2021-10-20,7.28,7.28,7.16,7.16,8300,ANT
2021-10-21,7.16,7.28,7.16,7.22,27500,ANT
2021-10-22,7.16,7.28,7.16,7.16,5300,ANT
2021-10-25,7.28,7.28,7.16,7.16,15100,ANT
2021-10-26,7.16,7.22,7.16,7.16,3220,ANT
2021-10-27,7.16,7.28,7.16,7.28,1730,ANT
2021-10-28,7.22,7.28,7.16,7.22,9700,ANT
2021-10-29,7.22,7.22,7.16,7.22,16600,ANT
2021-11-01,7.22,7.28,7.16,7.22,6310,ANT
2021-11-02,7.22,8.25,6.97,8.25,342077,ANT
2021-11-03,8.85,8.85,8.37,8.85,98136,ANT
2021-11-04,8.79,9.4,8.79,9.1,13525,ANT
2021-11-05,8.19,8.37,7.76,8.19,107060,ANT
2021-11-08,8.01,9.16,7.76,9.16,136254,ANT
2021-11-09,9.58,10.25,8.98,10.25,74215,ANT
2021-11-10,10.25,10.67,9.7,10.55,41913,ANT
2021-11-11,10.07,10.61,10.07,10.19,50214,ANT
2021-11-12,10.01,10.73,9.7,10.37,82400,ANT
2021-11-15,11.46,11.89,11.46,11.89,53938,ANT
2021-11-16,13.65,13.65,13.65,13.65,28900,ANT
2021-11-17,15.65,15.65,13.95,15.65,252500,ANT
2021-11-18,17.95,17.95,15.1,17.1,259020,ANT
2021-11-19,16.86,16.86,15.16,15.4,57919,ANT
2021-11-22,15.46,15.46,13.77,13.77,106850,ANT
2021-11-23,11.77,15.77,11.77,13.34,252100,ANT
2021-11-24,13.34,13.83,13.34,13.83,4400,ANT
2021-11-25,15.59,15.71,15.53,15.71,96000,ANT
2021-11-26,15.89,16.68,13.4,14.55,83820,ANT
2021-11-29,14.55,15.16,14.25,14.25,57900,ANT
2021-11-30,13.95,15.04,13.77,14.8,55400,ANT
2021-12-01,14.8,14.8,13.83,13.95,68100,ANT
2021-12-02,14.07,14.07,12.25,13.65,93600,ANT
2021-12-03,12.19,13.34,12.19,13.28,39550,ANT
2021-12-06,12.61,12.74,12.13,12.61,36100,ANT
2021-12-07,11.34,13.28,11.34,12.61,13700,ANT
2021-12-08,12.61,13.04,12.43,12.43,16340,ANT
2021-12-09,13.95,13.95,12.25,12.74,9700,ANT
2021-12-10,12.43,13.22,11.22,12.19,32310,ANT
2021-12-13,12.61,13.65,11.83,13.04,21500,ANT
2021-12-14,11.58,12.55,11.22,12.55,24500,ANT
2021-12-15,12.13,12.67,12.13,12.61,33400,ANT
2021-12-16,12.49,12.74,11.58,12.49,13100,ANT
2021-12-17,12.07,12.13,11.64,12.13,75400,ANT
2021-12-20,12.01,12.07,10.25,12.07,35500,ANT
2021-12-21,10.92,11.83,10.92,11.52,10410,ANT
2021-12-22,11.1,11.95,10.98,11.22,17220,ANT
2021-12-23,11.4,11.4,10.79,10.92,21300,ANT
2021-12-24,10.86,11.52,10.86,10.98,8909,ANT
2021-12-27,10.98,11.4,10.86,10.92,25120,ANT
2021-12-28,10.92,11.4,10.86,11.04,9500,ANT
2021-12-29,10.92,11.4,10.92,10.92,7400,ANT
2021-12-30,10.98,10.98,10.92,10.92,9100,ANT
2021-12-31,10.92,10.92,10.86,10.92,3710,ANT
2022-01-04,10.92,11.22,10.86,11.22,18800,ANT
2022-01-05,11.34,11.34,10.92,10.92,5400,ANT
2022-01-06,10.86,10.92,10.61,10.92,6300,ANT
2022-01-07,10.86,10.92,10.37,10.67,13900,ANT
2022-01-10,10.73,10.73,10.43,10.61,27906,ANT
2022-01-11,10.07,10.61,10.07,10.19,8650,ANT
2022-01-12,10.31,10.31,10.19,10.19,5000,ANT
2022-01-13,10.19,10.19,9.7,9.82,243200,ANT
2022-01-14,9.7,9.7,9.28,9.28,2701,ANT
2022-01-17,9.4,10.01,8.55,8.79,38900,ANT
2022-01-18,9.34,9.34,8.49,8.85,13003,ANT
2022-01-19,8.91,8.91,8.01,8.49,9215,ANT
2022-01-20,8.01,8.37,8.01,8.31,6404,ANT
2022-01-21,9.34,9.52,9.34,9.52,10000,ANT
2022-01-24,9.46,9.46,9.16,9.16,210,ANT
2022-01-25,8.55,8.55,8.07,8.07,4104,ANT
2022-01-26,8.19,8.91,8.13,8.49,3235,ANT
2022-01-27,8.43,8.43,7.94,8.43,6000,ANT
2022-01-28,8.55,9.1,8.55,8.55,1000,ANT
2022-02-07,8.73,9.58,8.55,9.58,5600,ANT
2022-02-08,9.58,9.58,9.1,9.4,3901,ANT
2022-02-09,9.4,10.25,9.4,10.25,500,ANT
2022-02-10,9.76,9.76,9.7,9.7,700,ANT
2022-02-11,8.55,9.46,8.55,9.46,504,ANT
2022-02-14,9.64,10.07,9.4,10.07,7017,ANT
2022-02-15,9.89,10.01,9.76,9.95,5000,ANT
2022-02-16,9.7,10.19,9.7,10.01,11204,ANT
2022-02-17,10.25,10.25,10.07,10.07,3200,ANT
2022-02-18,10.01,10.01,9.76,9.76,1411,ANT
2022-02-21,9.89,10.19,9.89,10.19,8206,ANT
2022-02-22,10.07,11.52,10.07,11.4,13913,ANT
2022-02-23,11.4,11.4,10.37,10.37,4700,ANT
2022-02-24,10.79,10.79,10.67,10.67,7303,ANT
2022-02-25,10.31,11.1,10.31,10.92,5700,ANT
2022-02-28,10.49,11.16,10.43,11.16,2000,ANT
2022-03-01,10.67,11.1,10.67,10.73,2700,ANT
2022-03-02,11.1,11.1,10.79,10.79,5000,ANT
2022-03-03,10.92,11.4,10.92,11.34,9300,ANT
2022-03-04,11.16,11.22,10.49,11.22,2800,ANT
2022-03-07,10.55,11.16,10.55,11.16,700,ANT
2022-03-08,11.16,11.16,10.79,11.1,718,ANT
2022-03-09,12.13,12.13,11.16,11.16,2500,ANT
2022-03-10,11.52,11.83,10.79,11.83,13200,ANT
2022-03-11,11.46,11.83,11.46,11.58,6800,ANT
2022-03-14,12.01,12.61,11.7,12.01,29210,ANT
2022-03-15,12.01,12.01,11.7,11.77,5800,ANT
2022-03-16,11.89,12.61,11.83,11.83,8600,ANT
2022-03-17,10.98,11.7,10.98,11.7,6900,ANT
2022-03-18,11.7,12.13,11.64,12.01,2300,ANT
2022-03-21,11.89,11.95,11.7,11.89,5700,ANT
2022-03-22,11.83,11.83,11.04,11.52,9500,ANT
2022-03-23,11.83,11.83,11.52,11.52,3700,ANT
2022-03-24,11.04,11.52,11.04,11.28,8200,ANT
2022-03-25,11.22,11.46,11.1,11.16,10700,ANT
2022-03-28,11.04,11.28,10.98,11.22,5300,ANT
2022-03-29,11.1,11.22,10.92,10.92,4300,ANT
2022-03-30,10.79,10.86,10.79,10.79,4219,ANT
2022-03-31,10.73,10.73,10.49,10.61,9500,ANT
2022-04-01,10.55,11.22,10.55,11.22,4800,ANT
2022-04-04,11.1,11.1,10.98,11.04,21900,ANT
